QC_ID|ASSAY_CODE|QC_LOT|QC_LEVEL|EXPECTED_VALUE|OBSERVED_VALUE|RUN_DT|INSTRUMENT_ID|QC_STATUS
QC000300|SER013|LOT118|L1|0.25|0.23|20/06/2023 08:00:00|INS04|PASS
QC000301|SER013|LOT131|L1|0.25|0.26|22/06/2023 08:00:00|INS02|PASS
QC000302|SER013|LOT105|L2|3.50|3.26|11/05/2022 09:00:00|INS04|PASS
QC000303|SER012|LOT121|L2|3.50|3.34|06/07/2024 09:00:00|INS01|PASS
QC000304|SER012|LOT106|L2|3.50|3.26|01/06/2023 07:00:00|INS04|PASS
QC000305|SER010|LOT130|L2|3.50|3.85|19/11/2024 09:00:00|INS03|PASS
QC000306|SER014|LOT115|L1|0.25|0.25|04/04/2024 08:00:00|INS04|PASS
QC000307|LOC900|LOT132|L2|3.50|3.57|26/08/2023 09:00:00|INS06|PASS
QC000308|SER013|LOT126|L2|3.50|3.49|09/05/2024 08:00:00|INS04|PASS
QC000309|SER013|LOT128|L2|3.50|3.13|06/11/2023 06:00:00|INS02|PASS
QC000310|SER010|LOT114|L1|0.25|0.23|12/05/2023 07:00:00|INS05|PASS
QC000311|SER012|LOT112|L1|0.25|0.28|08/07/2022 08:00:00|INS06|PASS
QC000312|SER014|LOT100|L2|3.50|3.33|07/04/2023 08:00:00|INS06|PASS
QC000313|LOC900|LOT132|L2|3.50|3.83|10/09/2024 08:00:00|INS01|PASS
QC000314|LOC900|LOT101|L2|3.50|3.15|22/11/2023 06:00:00|INS01|PASS
QC000315|SER010|LOT119|L1|0.25|0.23|14/04/2023 06:00:00|INS03|PASS
QC000316|SER014|LOT135|L1|0.25|0.26|25/06/2022 07:00:00|INS06|PASS
QC000317|SER010|LOT138|L2|3.50|3.73|20/05/2024 06:00:00|INS01|PASS
QC000318|SER011|LOT105|L1|0.25|0.23|13/03/2023 07:00:00|INS05|PASS
QC000319|SER013|LOT107|L1|0.25|0.27|24/03/2023 09:00:00|INS04|PASS
QC000320|SER013|LOT112|L1|0.25|0.26|28/03/2021 07:00:00|INS01|PASS
QC000321|SER011|LOT109|L2|3.50|3.18|07/09/2024 08:00:00|INS06|PASS
QC000322|SER014|LOT104|L2|3.50|3.43|29/04/2024 06:00:00|INS06|PASS
QC000323|SER011|LOT108|L2|3.50|3.71|21/06/2022 09:00:00|INS04|PASS
QC000324|LOC900|LOT111|L2|3.50|3.87|16/03/2020 07:00:00|INS05|PASS
QC000325|SER011|LOT135|L2|3.50|3.82|12/02/2022 06:00:00|INS04|PASS
QC000326|SER014|LOT129|L2|3.50|3.76|16/07/2021 07:00:00|INS01|PASS
QC000327|SER012|LOT106|L1|0.25|0.24|21/10/2023 07:00:00|INS04|PASS
QC000328|SER010|LOT134|L1|0.25|0.27|23/11/2023 07:00:00|INS04|PASS
QC000329|SER012|LOT114|L1|0.25|0.26|01/11/2023 09:00:00|INS01|PASS
QC000330|SER014|LOT125|L2|3.50|3.42|26/05/2024 07:00:00|INS01|PASS
QC000331|SER011|LOT103|L1|0.25|0.24|19/03/2024 09:00:00|INS02|PASS
QC000332|SER012|LOT138|L1|0.25|0.24|30/03/2024 08:00:00|INS05|PASS
QC000333|SER012|LOT137|L2|3.50|3.57|12/01/2022 07:00:00|INS04|PASS
QC000334|SER010|LOT129|L2|3.50|3.58|16/02/2022 07:00:00|INS06|PASS
QC000335|SER014|LOT131|L2|3.50|3.30|27/12/2024 07:00:00|INS06|PASS
QC000336|LOC900|LOT123|L1|0.25|0.22|26/11/2020 09:00:00|INS04|PASS
QC000337|SER011|LOT139|L2|3.50|3.73|11/05/2021 08:00:00|INS02|PASS
QC000338|SER013|LOT116|L2|3.50|3.39|29/10/2021 07:00:00|INS01|PASS
QC000339|SER012|LOT105|L1|0.25|0.22|17/04/2024 09:00:00|INS02|PASS
QC000340|SER013|LOT116|L1|0.25|0.22|03/12/2020 08:00:00|INS01|PASS
QC000341|SER013|LOT140|L1|0.25|0.27|29/01/2021 09:00:00|INS01|PASS
QC000342|SER011|LOT126|L2|3.50|3.57|15/08/2020 09:00:00|INS05|PASS
QC000343|SER013|LOT107|L2|3.50|3.54|11/05/2021 07:00:00|INS04|PASS
QC000344|SER011|LOT106|L2|3.50|3.52|22/04/2024 06:00:00|INS04|PASS
QC000345|SER011|LOT140|L2|3.50|3.09|23/04/2021 09:00:00|INS01|PASS
QC000346|SER011|LOT119|L1|0.25|0.23|08/03/2024 09:00:00|INS03|PASS
QC000347|SER013|LOT139|L2|3.50|3.84|22/07/2023 09:00:00|INS02|PASS
QC000348|SER011|LOT136|L2|3.50|3.23|06/04/2023 08:00:00|INS01|PASS
QC000349|SER014|LOT121|L1|0.25|0.24|06/03/2020 06:00:00|INS04|PASS
QC000350|LOC900|LOT121|L1|0.25|0.25|26/08/2021 06:00:00|INS02|PASS
QC000351|LOC900|LOT100|L1|0.25|0.24|15/04/2023 06:00:00|INS01|PASS
QC000352|SER011|LOT130|L1|0.25|0.24|06/10/2024 09:00:00|INS01|PASS
QC000353|SER014|LOT107|L1|0.25|0.23|22/01/2023 06:00:00|INS04|PASS
QC000354|SER010|LOT105|L1|0.25|0.25|29/01/2024 09:00:00|INS03|PASS
QC000355|LOC900|LOT125|L2|3.50|3.13|22/12/2022 07:00:00|INS05|PASS
QC000356|LOC900|LOT117|L2|3.50|3.39|18/10/2021 06:00:00|INS01|PASS
QC000357|LOC900|LOT117|L2|3.50|3.23|20/06/2024 07:00:00|INS04|PASS
QC000358|SER013|LOT107|L1|0.25|0.27|09/01/2023 09:00:00|INS03|PASS
QC000359|SER014|LOT110|L2|3.50|3.32|18/12/2021 06:00:00|INS06|PASS
QC000360|SER014|LOT122|L2|3.50|3.73|05/02/2020 08:00:00|INS06|PASS
QC000361|SER013|LOT124|L2|3.50|3.44|23/04/2023 07:00:00|INS06|PASS
QC000362|SER012|LOT111|L1|0.25|0.26|12/06/2020 08:00:00|INS03|PASS
QC000363|SER011|LOT109|L1|0.25|0.28|27/07/2022 09:00:00|INS02|PASS
QC000364|SER010|LOT138|L1|0.25|0.25|12/04/2023 06:00:00|INS05|PASS
QC000365|SER014|LOT107|L2|3.50|3.79|30/04/2021 06:00:00|INS06|PASS
QC000366|SER010|LOT105|L2|3.50|3.71|25/02/2022 07:00:00|INS06|PASS
QC000367|SER012|LOT114|L1|0.25|0.26|28/10/2023 06:00:00|INS06|PASS
QC000368|LOC900|LOT112|L2|3.50|3.18|05/10/2022 08:00:00|INS01|PASS
QC000369|SER014|LOT138|L2|3.50|3.14|08/03/2024 07:00:00|INS06|PASS
QC000370|SER011|LOT103|L1|0.25|0.25|07/10/2022 08:00:00|INS03|PASS
QC000371|SER010|LOT107|L2|3.50|3.16|17/06/2022 09:00:00|INS02|PASS
QC000372|SER010|LOT109|L1|0.25|0.26|01/04/2023 09:00:00|INS06|PASS
QC000373|SER012|LOT129|L1|0.25|0.25|28/05/2021 09:00:00|INS04|PASS
QC000374|SER014|LOT136|L1|0.25|0.25|26/06/2024 07:00:00|INS01|PASS
QC000375|SER011|LOT114|L1|0.25|0.25|27/02/2023 09:00:00|INS06|PASS
QC000376|SER013|LOT113|L1|0.25|0.24|30/10/2021 07:00:00|INS01|PASS
QC000377|SER011|LOT117|L2|3.50|3.77|05/12/2022 09:00:00|INS01|PASS
QC000378|SER011|LOT103|L1|0.25|0.28|04/10/2020 07:00:00|INS06|PASS
QC000379|SER010|LOT102|L1|0.25|0.25|02/11/2020 07:00:00|INS03|PASS
QC000380|SER012|LOT115|L1|0.25|0.23|28/03/2021 08:00:00|INS06|PASS
QC000381|SER012|LOT114|L1|0.25|0.23|30/07/2022 06:00:00|INS06|PASS
QC000382|SER013|LOT105|L1|0.25|0.24|05/06/2022 07:00:00|INS03|PASS
QC000383|SER011|LOT138|L2|3.50|3.52|28/12/2020 07:00:00|INS03|PASS
QC000384|SER013|LOT125|L2|3.50|3.79|04/04/2022 06:00:00|INS03|PASS
QC000385|SER014|LOT110|L1|0.25|0.24|29/05/2020 08:00:00|INS02|PASS
QC000386|SER013|LOT105|L1|0.25|0.26|08/03/2022 07:00:00|INS03|PASS
QC000387|SER012|LOT132|L2|3.50|3.17|23/04/2021 09:00:00|INS03|PASS
QC000388|LOC900|LOT137|L1|0.25|0.23|15/11/2023 06:00:00|INS06|PASS
QC000389|SER014|LOT133|L2|3.50|3.66|23/01/2021 07:00:00|INS05|PASS
QC000390|LOC900|LOT130|L1|0.25|0.27|29/12/2024 06:00:00|INS03|PASS
QC000391|SER010|LOT139|L2|3.50|3.76|25/10/2020 07:00:00|INS06|PASS
QC000392|SER013|LOT119|L2|3.50|3.62|20/09/2022 07:00:00|INS06|PASS
QC000393|SER011|LOT120|L1|0.25|0.28|07/02/2023 08:00:00|INS03|PASS
QC000394|SER012|LOT124|L1|0.25|0.25|05/07/2023 07:00:00|INS05|PASS
QC000395|SER014|LOT139|L1|0.25|0.28|09/10/2024 08:00:00|INS04|PASS
QC000396|SER012|LOT127|L1|0.25|0.24|12/08/2024 09:00:00|INS01|PASS
QC000397|SER010|LOT125|L1|0.25|0.24|08/04/2020 06:00:00|INS05|PASS
QC000398|SER014|LOT114|L2|3.50|3.22|03/03/2021 06:00:00|INS05|PASS
QC000399|LOC900|LOT125|L2|3.50|3.27|02/04/2023 07:00:00|INS06|PASS
QC000400|SER012|LOT100|L2|3.50|3.88|29/07/2024 08:00:00|INS03|PASS
